<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIN,20180508,11.56,11.56,11.56,11.56,500,12.50,12.50,12.50,12.50,0,0,0
VIN,20180507,11.56,11.56,11.56,11.56,100,12.50,12.50,12.50,12.50,0,0,0
VIN,20180504,11.56,11.56,11.56,11.56,200,12.50,12.50,12.50,12.50,0,0,0
VIN,20180426,11.56,11.56,11.56,11.56,100,12.50,12.50,12.50,12.50,0,0,0
VIN,20180420,12.49,12.49,12.49,12.49,400,13.50,13.50,13.50,13.50,0,0,0
VIN,20180419,13.41,13.41,12.49,12.49,1100,14.50,14.50,13.50,13.50,0,100,0
VIN,20180417,13.42,13.42,13.42,13.41,300,14.50,14.50,14.50,14.50,0,0,0
VIN,20180412,12.49,12.67,12.49,12.49,1700,13.50,13.70,13.50,13.50,0,500,0
VIN,20180411,12.86,12.86,12.86,12.86,2400,13.90,13.90,13.90,13.90,0,2400,0
VIN,20180410,12.76,13.04,12.76,13.04,200,13.80,14.10,13.80,14.10,0,100,0
VIN,20180409,13.04,13.04,13.04,13.04,2700,14.10,14.10,14.10,14.10,0,2700,1200
VIN,20180406,13.04,13.04,13.04,13.04,100,14.10,14.10,14.10,14.10,0,0,0
VIN,20180405,11.10,12.77,11.10,12.76,48500,12.00,13.80,12.00,13.80,0,200,0
VIN,20180404,11.10,11.10,11.10,11.10,1200,12.00,12.00,12.00,12.00,0,1200,0
VIN,20180403,11.00,11.09,11.00,11.10,200,11.90,12.00,11.90,12.00,0,0,0
VIN,20180402,10.91,10.91,10.18,10.17,4800,11.80,11.80,11.00,11.00,0,0,0
VIN,20180330,10.63,11.10,10.63,11.10,300,11.50,12.00,11.50,12.00,0,0,0
VIN,20180328,10.17,10.63,10.17,10.64,4000,11.00,11.50,11.00,11.50,0,0,0
VIN,20180323,8.97,10.63,8.97,10.64,200,9.70,11.50,9.70,11.50,0,0,0
VIN,20180321,10.45,10.45,10.45,10.45,1000,11.30,11.30,11.30,11.30,0,0,0
VIN,20180320,10.18,11.01,10.18,11.01,4100,11.00,11.90,11.00,11.90,0,0,0
VIN,20180316,9.90,9.90,9.90,9.90,1000,10.70,10.70,10.70,10.70,0,0,0
VIN,20180315,9.89,9.89,9.89,9.90,100,10.70,10.70,10.70,10.70,0,0,0
VIN,20180314,10.18,10.18,10.18,10.17,100,11.00,11.00,11.00,11.00,0,0,0
VIN,20180313,10.36,11.00,10.36,10.36,19100,11.20,11.90,11.20,11.20,0,0,0
VIN,20180309,11.10,11.10,10.73,10.73,200,12.00,12.00,11.60,11.60,0,0,0
VIN,20180308,10.64,11.10,10.64,11.10,14800,11.50,12.00,11.50,12.00,0,0,0
VIN,20180307,10.27,10.64,10.27,10.64,2500,11.10,11.50,11.10,11.50,0,0,0
VIN,20180306,10.64,10.64,10.64,10.64,1400,11.50,11.50,11.50,11.50,0,0,0
VIN,20180305,10.64,10.64,10.27,10.27,15800,11.50,11.50,11.10,11.10,0,0,0
VIN,20180302,10.35,10.63,10.35,10.64,3300,11.20,11.50,11.20,11.50,0,0,0
VIN,20180301,11.37,11.37,10.08,10.17,1500,12.30,12.30,10.90,11.00,0,200,0
VIN,20180228,9.99,10.08,9.99,10.08,3300,10.80,10.90,10.80,10.90,0,0,0
VIN,20180226,10.08,10.08,10.08,10.08,300,10.90,10.90,10.90,10.90,0,0,0
VIN,20180223,9.99,9.99,9.99,9.99,2000,10.80,10.80,10.80,10.80,0,0,0
VIN,20180222,9.99,9.99,9.99,9.99,10040,10.80,10.80,10.80,10.80,0,0,0
VIN,20180221,10.27,10.27,10.27,10.27,200,11.10,11.10,11.10,11.10,0,0,0
VIN,20180213,9.99,9.99,9.99,9.99,2000,10.80,10.80,10.80,10.80,0,0,0
VIN,20180209,10.63,10.63,10.63,10.64,100,11.50,11.50,11.50,11.50,0,0,0
VIN,20180208,9.34,9.34,9.34,9.34,40,10.10,10.10,10.10,10.10,0,0,0
VIN,20180205,9.34,9.34,9.34,9.34,1000,10.10,10.10,10.10,10.10,0,0,0
VIN,20180201,10.18,10.18,10.18,10.17,100,11.00,11.00,11.00,11.00,0,0,0
VIN,20180129,9.34,9.71,9.25,9.71,9000,10.10,10.50,10.00,10.50,0,0,0
VIN,20180124,9.71,9.71,9.71,9.71,1100,10.50,10.50,10.50,10.50,0,0,600
VIN,20180123,9.71,9.71,9.71,9.71,400,10.50,10.50,10.50,10.50,0,0,0
VIN,20180119,9.71,9.71,9.71,9.71,200,10.50,10.50,10.50,10.50,0,200,0
VIN,20180118,9.71,9.71,9.71,9.71,1000,10.50,10.50,10.50,10.50,0,700,0
VIN,20180117,10.09,10.09,10.09,10.08,400,10.90,10.90,10.90,10.90,0,0,0
VIN,20180112,9.53,9.53,9.53,9.53,500,10.30,10.30,10.30,10.30,0,500,0
VIN,20180111,9.52,9.52,9.43,9.53,3600,10.30,10.30,10.20,10.30,0,0,0
VIN,20180105,8.79,10.08,8.79,10.08,200,9.50,10.90,9.50,10.90,0,0,100
VIN,20180102,9.53,9.80,9.53,9.80,1100,10.30,10.60,10.30,10.60,0,600,0
VIN,20171229,9.99,9.99,9.99,9.99,100,10.80,10.80,10.80,10.80,0,0,0
VIN,20171228,9.98,9.98,9.98,9.99,100,10.80,10.80,10.80,10.80,0,0,0
VIN,20171226,8.70,8.70,8.70,8.69,100,9.40,9.40,9.40,9.40,0,0,100
VIN,20171225,10.08,10.08,9.99,9.99,500,10.90,10.90,10.80,10.80,0,200,0
VIN,20171214,9.99,9.99,9.99,9.99,800,10.80,10.80,10.80,10.80,0,600,0
VIN,20171212,10.17,10.17,10.17,10.17,100,11.00,11.00,11.00,11.00,0,0,0
VIN,20171130,9.80,9.80,9.43,9.43,3100,10.60,10.60,10.20,10.20,0,1000,0
VIN,20171129,10.17,10.17,10.17,10.17,800,11.00,11.00,11.00,11.00,0,500,0
VIN,20171128,10.17,10.17,10.17,10.17,1000,11.00,11.00,11.00,11.00,0,0,0
